"Datum", "datumsec", "Temperatur", "rel_feuchte", "Windgeschwindigkeit", "Windrichtung", "Luftdruck", "Kurzwellig_oben", "Kurzwellig_unten", "Langwellig_oben", "Langwellig_unten", "Zenitwinkel", "Tiltx", "Tilty", "Schneetiefe", "Ablation"
"2012-10-18 05:30:00",1350538200,25.0,-77.5,0.0,3.4,6,NULL,NULL,NULL,NULL,90.5,-40.5,-35.0,NULL,NULL
"2012-10-18 05:40:00",1350538800,60.3,-71.2,0.0,3.4,796,NULL,NULL,NULL,NULL,89.1,-40.5,-35.0,NULL,NULL
"2012-10-19 13:00:00",1350651600,3.9,48.4,0.0,0.2,7,NULL,NULL,NULL,NULL,63.8,-31.2,-31.5,NULL,NULL
"2012-10-19 13:10:00",1350652200,6.0,50.3,0.0,0.7,784,NULL,NULL,NULL,NULL,64.8,-31.4,-31.8,NULL,NULL
"2012-10-19 13:20:00",1350652800,5.9,52.7,0.0,354.6,784,NULL,NULL,NULL,NULL,65.9,-31.6,-32.0,NULL,NULL
"2012-10-19 13:30:00",1350653400,5.0,58.3,0.0,354.6,784,NULL,NULL,NULL,NULL,67.0,-31.8,-32.3,NULL,NULL
"2012-10-19 13:40:00",1350654000,5.7,53.4,0.5,359.5,784,NULL,NULL,NULL,NULL,68.2,-32.0,-32.4,NULL,NULL
"2012-10-19 13:50:00",1350654600,5.3,56.7,0.8,4.3,784,NULL,NULL,NULL,NULL,69.4,-32.2,-32.5,NULL,NULL
"2012-10-19 14:00:00",1350655200,5.0,57.1,0.8,4.3,784,NULL,NULL,NULL,NULL,70.6,-32.4,-32.5,NULL,NULL
"2012-10-19 14:10:00",1350655800,5.2,56.3,0.8,4.3,784,NULL,NULL,NULL,NULL,71.9,-32.6,-32.6,NULL,NULL
"2012-10-19 14:20:00",1350656400,5.2,55.4,0.9,4.3,784,NULL,NULL,NULL,NULL,73.3,-32.9,-32.8,NULL,NULL
"2012-10-19 14:30:00",1350657000,5.4,54.6,0.6,4.3,784,NULL,NULL,NULL,NULL,74.7,-15.2,-27.4,NULL,NULL
"2012-10-19 14:40:00",1350657600,5.2,55.8,0.9,2.7,784,NULL,NULL,NULL,NULL,76.1,-10.2,-27.4,NULL,NULL
"2012-10-19 14:50:00",1350658200,4.6,59.2,0.3,354.9,784,NULL,NULL,NULL,NULL,77.5,-11.8,-27.4,NULL,NULL
"2012-10-19 15:00:00",1350658800,4.6,57.7,0.8,354.7,784,NULL,NULL,NULL,NULL,79.0,-12.7,-27.4,NULL,NULL
"2012-10-19 15:10:00",1350659400,4.2,61.4,0.6,355.6,784,NULL,NULL,NULL,NULL,80.5,-15.1,-27.4,NULL,NULL
"2012-10-19 15:20:00",1350660000,5.3,53.7,1.0,353.2,784,NULL,NULL,NULL,NULL,82.0,-17.8,-27.4,NULL,NULL
"2012-10-19 15:30:00",1350660600,4.3,61.3,0.9,349.6,784,NULL,NULL,NULL,NULL,83.6,-12.4,-27.4,NULL,NULL
"2012-10-19 15:40:00",1350661200,4.3,60.4,0.7,342.5,784,NULL,NULL,NULL,NULL,85.1,-10.3,-27.4,NULL,NULL
"2012-10-19 15:50:00",1350661800,5.2,53.2,0.8,339.3,784,NULL,NULL,NULL,NULL,86.7,-18.3,-27.4,NULL,NULL
"2012-10-19 16:00:00",1350662400,5.3,52.0,0.5,339.1,784,NULL,NULL,NULL,NULL,88.2,-9.0,-27.4,NULL,NULL
"2012-10-19 16:10:00",1350663000,4.4,57.5,0.1,358.7,784,NULL,NULL,NULL,NULL,89.7,16.6,-27.4,NULL,NULL
"2012-10-19 16:20:00",1350663600,5.0,52.3,0.7,330.6,784,NULL,NULL,NULL,NULL,91.1,-27.4,-5.1,NULL,NULL
"2012-10-19 16:30:00",1350664200,6.6,43.7,1.9,42.1,784,NULL,NULL,NULL,NULL,93.2,3.2,-10.3,NULL,NULL
